matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
271894,Vodacom Bulls,away,23,loss,135,393,16,3,3,158,5,4,19,618,4,7,0,7,79,10,17,3,0,4,0,3,0,2,-9,65,140,6,1,-2,72,-1,4,1,-161,0,3,-2,-8,-121,-6,9,2,0,2,0,-2,0,2
271894,Ulster Rugby,home,32,win,70,253,10,2,5,86,6,0,18,779,4,4,2,15,200,16,8,1,0,2,0,5,0,0,9,-65,-140,-6,-1,2,-72,1,-4,-1,161,0,-3,2,8,121,6,-9,-2,0,-2,0,2,0,-2
271820,Leinster Rugby,home,27,win,132,461,25,7,10,164,12,8,25,720,5,3,3,10,151,11,12,3,1,6,2,2,0,0,14,12,236,14,4,-3,24,-1,5,4,-68,-2,-5,2,2,9,-14,1,1,1,3,2,1,0,-2
271820,Munster Rugby,away,13,loss,120,225,11,3,13,140,13,3,21,788,7,8,1,8,142,25,11,2,0,3,0,1,0,2,-14,-12,-236,-14,-4,3,-24,1,-5,-4,68,2,5,-2,-2,-9,14,-1,-1,-1,-3,-2,-1,0,2
271913,Cardiff Rugby,away,38,win,125,407,17,6,14,177,14,9,18,772,9,3,1,10,120,18,11,4,0,2,0,1,0,1,17,10,62,-1,5,1,15,2,1,2,150,4,-5,0,-3,-28,1,-4,1,0,0,0,-2,0,1
271913,Ospreys,home,21,loss,115,345,18,1,13,162,12,8,16,622,5,8,1,13,148,17,15,3,0,2,0,3,0,0,-17,-10,-62,1,-5,-1,-15,-2,-1,-2,-150,-4,5,0,3,28,-1,4,-1,0,0,0,2,0,-1
271812,Leinster Rugby,away,10,win,120,449,23,7,6,173,10,6,42,1378,4,7,3,17,120,2,15,3,3,1,0,3,0,0,10,29,302,21,7,5,38,-9,-1,9,-121,-3,2,-2,3,-32,-21,5,1,2,-2,0,2,0,-1
271812,Connacht Rugby,home,0,loss,91,147,2,0,1,135,19,7,33,1499,7,5,5,14,152,23,10,2,1,3,0,1,0,1,-10,-29,-302,-21,-7,-5,-38,9,1,-9,121,3,-2,2,-3,32,21,-5,-1,-2,2,0,-2,0,1
271835,Glasgow Warriors,away,5,loss,157,548,26,7,25,249,17,5,15,751,7,9,3,12,95,12,13,3,0,3,0,1,0,0,-35,70,140,14,4,19,137,3,-1,-9,-400,0,5,2,-2,-74,-14,-2,-2,0,0,0,-3,0,-1
271835,Leinster Rugby,home,40,win,87,408,12,3,6,112,14,6,24,1151,7,4,1,14,169,26,15,5,0,3,0,4,0,1,35,-70,-140,-14,-4,-19,-137,-3,1,9,400,0,-5,-2,2,74,14,2,2,0,0,0,3,0,1
