matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
101,T7,home,31,win,131,618,31,6,14,167,14,8,25,1070,6,6,0,13,148,17,15,3,0,5,1,4,0,0,28,7,243,14,2,0,34,-1,3,2,-38,1,1,-3,0,20,-14,4,-1,0,2,0,2,0,0
102,T8,home,27,win,160,354,17,5,10,211,12,9,21,549,5,5,1,10,149,13,6,1,1,2,0,1,0,1,12,31,44,4,0,0,55,-1,3,7,189,-1,-2,1,3,-62,-4,-6,1,1,-1,0,-2,0,1
103,T4,home,26,loss,105,398,17,7,17,174,15,7,15,734,6,8,2,16,75,19,12,2,0,3,0,2,0,0,-12,34,67,-2,3,10,89,4,-3,-6,-134,1,2,0,6,-46,2,-2,0,-1,3,-1,0,0,-1
104,T6,away,20,loss,91,345,11,5,9,132,13,4,21,716,4,8,3,14,118,18,10,2,0,0,0,0,0,0,-35,-15,-118,-7,1,-3,8,2,-2,-5,-263,-2,5,3,-2,31,7,0,0,0,-3,-1,-1,0,0
105,T9,home,14,loss,94,321,17,4,11,127,13,6,15,693,8,8,4,4,152,18,13,1,1,0,0,1,0,2,-35,-60,-86,-1,-3,-6,-42,3,-3,-9,-262,0,5,2,-9,74,1,7,0,1,-2,0,-1,0,2
106,T9,away,10,loss,122,425,20,4,4,139,16,11,22,618,8,6,0,9,116,44,11,1,1,3,0,0,0,0,-24,-18,-299,-24,-8,-18,-71,-3,3,10,69,-1,-4,0,-6,-15,24,0,-1,0,2,0,-1,0,0
107,T4,home,24,loss,146,482,30,9,24,181,17,7,23,958,3,3,4,17,72,14,6,1,1,2,0,1,0,0,-17,49,51,16,2,3,61,1,-1,-6,8,-2,-2,2,4,-64,-16,-3,1,1,-1,0,-1,0,0
108,T12,home,21,win,109,348,20,3,11,142,19,10,20,838,7,7,2,19,56,7,13,6,0,2,0,0,0,0,8,56,138,13,2,8,95,1,2,-4,-76,0,-1,-1,9,-68,-13,-4,3,0,-2,0,-6,0,0
109,T8,home,26,win,178,454,32,7,15,245,16,6,27,901,6,9,0,19,149,17,8,1,0,0,1,1,0,0,16,53,79,15,2,8,99,-5,-6,-3,83,3,5,-2,8,-50,-15,0,1,0,-3,1,-2,0,0
110,T5,away,27,loss,93,409,15,5,9,111,16,10,25,670,8,5,1,12,142,18,13,3,0,3,0,3,0,0,-1,-24,52,-3,2,5,-16,0,7,1,-99,3,0,-1,-2,56,3,0,-1,0,-1,0,1,0,-1
111,T3,away,47,win,88,330,16,9,17,106,13,10,25,943,7,6,0,9,105,12,12,1,0,5,0,3,0,0,10,-18,-8,4,1,10,3,-6,2,7,303,4,-1,-3,1,41,-4,5,-1,0,4,0,1,0,0
112,T9,away,12,loss,118,325,10,4,12,152,17,4,18,597,9,4,4,7,148,18,7,1,0,2,0,1,0,1,-36,-5,-156,-8,-4,2,-17,3,-5,-7,-178,4,3,4,-8,22,8,-2,-2,0,0,-2,1,0,1
113,T9,home,19,loss,119,332,7,2,12,163,11,6,22,745,7,5,3,9,115,22,14,1,1,4,1,1,0,1,-10,25,-23,-15,-2,4,66,-3,-2,-2,-108,3,-4,3,-5,-8,15,-2,-2,0,1,-1,-1,0,1
