matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
276149,Scarlets,away,7,loss,113,210,15,2,12,133,11,6,23,746,8,8,3,8,115,26,12,5,1,5,1,0,0,0,-45,-19,-448,-11,-11,-12,-39,-9,-1,-3,-112,0,4,1,-3,-1,11,3,3,1,0,0,-2,0,0
276150,Hollywoodbets Sharks,away,13,loss,101,501,23,5,11,120,20,7,33,1093,9,8,0,7,129,17,12,1,1,3,0,2,0,0,-21,-19,-17,6,-3,8,-53,2,-4,3,-344,3,0,-3,-9,41,-6,4,1,0,1,-1,1,0,-1
276150,Leinster Rugby,home,34,win,120,518,17,8,3,173,18,11,30,1437,6,8,3,16,88,23,8,0,1,2,1,1,0,1,21,19,17,-6,3,-8,53,-2,4,-3,344,-3,0,3,9,-41,6,-4,-1,0,-1,1,-1,0,1
276151,Emirates Lions,away,16,loss,135,391,22,3,7,158,9,9,21,789,5,5,1,12,80,21,12,3,1,0,2,2,0,1,-1,49,-34,1,-5,-2,44,-2,3,3,102,0,-1,-4,0,-97,-1,-1,0,0,-2,1,-1,0,0
276151,Edinburgh Rugby,home,17,win,86,425,21,8,9,114,11,6,18,687,5,6,5,12,177,22,13,3,1,2,1,3,0,1,1,-49,34,-1,5,2,-44,2,-3,-3,-102,0,1,4,0,97,1,1,0,0,2,-1,1,0,0
276152,Benetton Rugby,home,13,draw,58,170,9,3,1,84,14,9,25,893,9,2,4,7,167,13,16,0,1,6,0,5,0,0,0,-92,-80,-4,2,-5,-94,-1,5,8,71,-2,-3,1,-8,105,4,5,-4,1,4,0,3,0,0
276152,Munster Rugby,away,13,draw,150,250,13,1,6,178,15,4,17,822,11,5,3,15,62,9,11,4,0,2,0,2,0,0,0,92,80,4,-2,5,94,1,-5,-8,-71,2,3,-1,8,-105,-4,-5,4,-1,-4,0,-3,0,0
276153,Cardiff Rugby,away,16,win,104,444,17,6,7,106,11,7,42,1302,5,5,2,6,126,13,11,4,1,1,2,1,0,0,7,1,189,4,2,5,10,-2,4,2,31,-2,-5,1,-9,21,-4,0,2,1,-2,1,-2,0,0
276153,Dragons RFC,home,9,loss,103,255,13,4,2,96,13,3,40,1271,7,10,1,15,105,17,11,2,0,3,1,3,0,0,-7,-1,-189,-4,-2,-5,-10,2,-4,-2,-31,2,5,-1,9,-21,4,0,-2,-1,2,-1,2,0,0
276154,Ulster Rugby,home,26,win,150,474,20,5,15,167,14,5,13,613,6,5,4,11,168,16,9,3,0,1,2,0,0,1,7,30,188,4,3,5,28,6,-3,-7,-21,-3,-1,0,5,-5,-4,-7,1,0,-3,1,-4,0,1
